[Measurement Properties]
Wavelength Range (nm.):	740,00 to 1050,00
Scan Speed:	Very Slow
Sampling Interval:	0,2
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	WI
Detector Unit:	Integral Sphere
Detector Change Wavelength:	920,00 nm  1650,00 nm
Grating Change Wavelength:	850,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	POSITION_1.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	04MAY2015
FILTER#12
BRAZIL

Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
930,20	99,978	98,249	98,211	98,203	98,192	98,201	98,229	98,207	98,200	98,196	97,994	98,199	98,196	98,245	98,178	98,216	98,230	98,222	98,222	98,210	98,189	98,217	98,223	98,226	98,274	98,248	98,157	98,189	98,230	98,212	98,172	98,220	98,220	98,252	98,217	98,205	98,221	98,255	98,241	98,246	98,189	98,218	98,186	98,242	98,244	98,217	98,230	98,232	98,224	98,261	98,240	98,211	98,186	98,233	98,226	98,147	98,219	98,225	98,237	98,241	98,174	98,209	98,223	98,220	98,241	98,095	98,190	98,277	98,233	98,222	98,222	98,155	98,192	98,260	98,229	98,265	98,238	98,293	98,239	98,272	98,253	98,167	98,208	98,219	98,255	98,280	98,225	98,205	98,240	98,246	98,217	98,185	98,230	98,159	98,199	98,247	98,223	98,193	98,218	98,162	98,111	100,005
930,40	100,002	98,136	98,091	98,143	98,175	98,178	98,134	98,144	98,142	98,169	97,912	98,138	98,169	98,216	98,187	98,130	98,178	98,171	98,182	98,160	98,186	98,164	98,170	98,206	98,199	98,206	98,115	98,167	98,219	98,140	98,124	98,172	98,182	98,197	98,204	98,160	98,162	98,191	98,195	98,177	98,160	98,172	98,129	98,192	98,178	98,198	98,191	98,150	98,153	98,211	98,133	98,112	98,152	98,199	98,176	98,094	98,172	98,176	98,195	98,205	98,178	98,167	98,190	98,143	98,231	98,046	98,152	98,182	98,220	98,223	98,149	98,155	98,200	98,157	98,195	98,228	98,205	98,196	98,227	98,190	98,177	98,146	98,225	98,215	98,177	98,222	98,190	98,198	98,177	98,173	98,213	98,114	98,148	98,121	98,182	98,171	98,186	98,189	98,203	98,118	98,090	99,924
930,60	99,996	98,267	98,200	98,236	98,235	98,210	98,263	98,172	98,221	98,227	98,022	98,226	98,239	98,265	98,222	98,261	98,225	98,250	98,247	98,230	98,217	98,249	98,248	98,283	98,282	98,270	98,211	98,229	98,259	98,235	98,207	98,249	98,247	98,268	98,247	98,235	98,247	98,274	98,269	98,250	98,228	98,242	98,212	98,257	98,276	98,228	98,238	98,236	98,262	98,281	98,257	98,256	98,219	98,284	98,255	98,175	98,259	98,252	98,274	98,275	98,222	98,206	98,242	98,260	98,282	98,113	98,245	98,303	98,242	98,238	98,218	98,166	98,217	98,261	98,297	98,259	98,263	98,301	98,248	98,281	98,279	98,231	98,251	98,254	98,301	98,292	98,248	98,247	98,269	98,302	98,250	98,180	98,251	98,206	98,253	98,284	98,228	98,233	98,229	98,170	98,161	100,059
930,80	99,980	98,205	98,175	98,170	98,167	98,187	98,195	98,174	98,163	98,165	97,958	98,151	98,175	98,222	98,184	98,179	98,204	98,196	98,190	98,177	98,178	98,193	98,192	98,205	98,258	98,236	98,148	98,188	98,207	98,173	98,135	98,193	98,204	98,215	98,195	98,163	98,185	98,228	98,222	98,211	98,174	98,192	98,149	98,214	98,216	98,212	98,203	98,195	98,188	98,228	98,186	98,183	98,162	98,195	98,178	98,109	98,185	98,198	98,216	98,222	98,183	98,199	98,221	98,164	98,224	98,071	98,156	98,212	98,239	98,223	98,181	98,157	98,200	98,203	98,187	98,261	98,222	98,242	98,243	98,226	98,199	98,144	98,218	98,223	98,208	98,251	98,201	98,193	98,206	98,206	98,208	98,157	98,173	98,127	98,176	98,196	98,220	98,187	98,228	98,163	98,082	99,936
931,00	100,008	98,147	98,093	98,162	98,200	98,167	98,151	98,122	98,154	98,174	97,942	98,143	98,192	98,216	98,190	98,151	98,180	98,202	98,195	98,165	98,185	98,190	98,177	98,243	98,198	98,216	98,145	98,189	98,224	98,168	98,132	98,172	98,199	98,206	98,215	98,176	98,189	98,201	98,210	98,189	98,188	98,187	98,142	98,195	98,192	98,199	98,181	98,163	98,185	98,203	98,135	98,128	98,131	98,232	98,186	98,111	98,191	98,175	98,211	98,224	98,191	98,152	98,172	98,181	98,248	98,044	98,196	98,213	98,192	98,194	98,144	98,125	98,181	98,182	98,234	98,199	98,219	98,219	98,192	98,195	98,210	98,181	98,221	98,219	98,227	98,217	98,182	98,213	98,188	98,201	98,215	98,111	98,173	98,159	98,202	98,217	98,165	98,197	98,179	98,108	98,117	99,992
931,20	99,986	98,279	98,200	98,231	98,238	98,207	98,264	98,169	98,219	98,224	98,025	98,217	98,237	98,272	98,227	98,271	98,237	98,263	98,244	98,232	98,207	98,245	98,244	98,256	98,307	98,277	98,211	98,241	98,250	98,245	98,193	98,245	98,256	98,275	98,257	98,228	98,251	98,277	98,268	98,252	98,224	98,229	98,211	98,254	98,289	98,222	98,238	98,260	98,256	98,267	98,259	98,253	98,218	98,250	98,236	98,180	98,255	98,253	98,276	98,274	98,219	98,236	98,257	98,250	98,262	98,120	98,222	98,281	98,280	98,266	98,231	98,184	98,219	98,295	98,254	98,296	98,260	98,304	98,273	98,279	98,276	98,188	98,245	98,248	98,291	98,292	98,237	98,247	98,284	98,298	98,243	98,207	98,247	98,182	98,214	98,269	98,272	98,213	98,282	98,219	98,118	100,023
931,40	99,992	98,191	98,169	98,181	98,185	98,187	98,185	98,163	98,163	98,173	97,944	98,143	98,164	98,213	98,190	98,169	98,199	98,199	98,191	98,163	98,177	98,190	98,184	98,219	98,209	98,219	98,150	98,194	98,216	98,172	98,117	98,168	98,183	98,207	98,219	98,169	98,189	98,206	98,221	98,193	98,171	98,181	98,126	98,200	98,194	98,205	98,184	98,172	98,181	98,194	98,157	98,173	98,134	98,215	98,165	98,096	98,186	98,187	98,203	98,213	98,196	98,171	98,194	98,157	98,251	98,057	98,173	98,193	98,231	98,226	98,158	98,150	98,205	98,171	98,200	98,223	98,241	98,217	98,217	98,196	98,179	98,176	98,230	98,228	98,203	98,225	98,184	98,209	98,197	98,178	98,206	98,132	98,163	98,141	98,194	98,189	98,189	98,214	98,191	98,121	98,109	99,948
931,60	100,017	98,206	98,137	98,212	98,230	98,189	98,167	98,134	98,189	98,196	97,971	98,178	98,197	98,232	98,207	98,191	98,191	98,230	98,215	98,201	98,194	98,214	98,211	98,236	98,243	98,249	98,180	98,222	98,236	98,202	98,167	98,209	98,228	98,231	98,236	98,205	98,222	98,231	98,245	98,225	98,194	98,204	98,163	98,218	98,236	98,212	98,201	98,228	98,216	98,221	98,171	98,165	98,156	98,237	98,218	98,148	98,233	98,213	98,243	98,235	98,186	98,182	98,204	98,228	98,241	98,068	98,213	98,270	98,233	98,211	98,181	98,138	98,172	98,256	98,241	98,240	98,236	98,259	98,225	98,234	98,259	98,177	98,209	98,221	98,277	98,244	98,203	98,239	98,229	98,248	98,236	98,142	98,214	98,181	98,192	98,251	98,217	98,188	98,229	98,176	98,090	100,036
931,80	99,986	98,280	98,227	98,248	98,246	98,235	98,261	98,188	98,232	98,229	98,015	98,210	98,237	98,266	98,251	98,279	98,240	98,265	98,260	98,250	98,224	98,245	98,246	98,266	98,305	98,283	98,221	98,258	98,246	98,241	98,195	98,241	98,272	98,274	98,264	98,237	98,251	98,282	98,287	98,251	98,212	98,229	98,207	98,272	98,269	98,227	98,237	98,253	98,240	98,279	98,255	98,258	98,198	98,255	98,221	98,170	98,253	98,264	98,258	98,274	98,245	98,244	98,284	98,233	98,299	98,130	98,218	98,254	98,313	98,303	98,237	98,213	98,265	98,252	98,238	98,312	98,283	98,298	98,302	98,273	98,238	98,209	98,270	98,282	98,261	98,299	98,242	98,253	98,281	98,301	98,263	98,223	98,245	98,180	98,229	98,249	98,275	98,273	98,281	98,220	98,152	100,001
932,00	100,004	98,175	98,164	98,184	98,183	98,196	98,183	98,152	98,159	98,180	97,942	98,148	98,173	98,208	98,174	98,155	98,181	98,204	98,198	98,154	98,165	98,172	98,185	98,216	98,189	98,220	98,146	98,195	98,217	98,173	98,141	98,162	98,206	98,210	98,208	98,182	98,192	98,209	98,231	98,201	98,155	98,187	98,125	98,195	98,190	98,203	98,171	98,187	98,180	98,186	98,156	98,171	98,116	98,223	98,184	98,112	98,199	98,179	98,208	98,202	98,174	98,138	98,164	98,183	98,251	98,044	98,185	98,229	98,202	98,178	98,139	98,114	98,157	98,207	98,222	98,210	98,232	98,223	98,190	98,198	98,215	98,184	98,209	98,219	98,236	98,207	98,174	98,220	98,202	98,190	98,219	98,111	98,178	98,156	98,197	98,215	98,164	98,183	98,167	98,131	98,100	99,993
932,20	100,014	98,234	98,154	98,233	98,228	98,218	98,198	98,135	98,216	98,218	98,000	98,179	98,226	98,245	98,252	98,229	98,200	98,250	98,242	98,240	98,209	98,229	98,229	98,247	98,278	98,269	98,196	98,240	98,243	98,235	98,209	98,235	98,271	98,264	98,245	98,239	98,256	98,273	98,270	98,235	98,198	98,212	98,204	98,243	98,267	98,211	98,229	98,265	98,231	98,261	98,206	98,177	98,183	98,229	98,231	98,175	98,254	98,235	98,277	98,257	98,214	98,232	98,263	98,240	98,261	98,118	98,224	98,269	98,301	98,276	98,221	98,170	98,207	98,271	98,233	98,313	98,241	98,294	98,280	98,267	98,268	98,183	98,237	98,249	98,265	98,278	98,221	98,249	98,266	98,275	98,251	98,198	98,233	98,167	98,201	98,255	98,252	98,233	98,272	98,235	98,120	100,014
932,40	99,991	98,275	98,233	98,240	98,240	98,248	98,263	98,204	98,227	98,238	98,014	98,216	98,236	98,274	98,240	98,266	98,237	98,263	98,261	98,251	98,223	98,250	98,238	98,282	98,271	98,269	98,205	98,253	98,261	98,252	98,209	98,228	98,266	98,280	98,278	98,252	98,242	98,293	98,304	98,257	98,207	98,235	98,183	98,268	98,250	98,232	98,235	98,246	98,244	98,267	98,266	98,258	98,192	98,282	98,219	98,166	98,267	98,254	98,258	98,273	98,252	98,216	98,260	98,232	98,329	98,132	98,253	98,268	98,286	98,270	98,219	98,204	98,242	98,240	98,267	98,283	98,298	98,284	98,274	98,258	98,245	98,251	98,280	98,302	98,279	98,279	98,244	98,261	98,277	98,283	98,266	98,205	98,238	98,201	98,271	98,261	98,228	98,277	98,243	98,192	98,179	100,027
932,60	100,004	98,152	98,167	98,166	98,175	98,179	98,192	98,129	98,155	98,167	97,932	98,143	98,159	98,200	98,172	98,150	98,158	98,207	98,188	98,158	98,166	98,173	98,184	98,204	98,206	98,215	98,125	98,189	98,221	98,179	98,162	98,165	98,217	98,213	98,204	98,198	98,191	98,214	98,200	98,187	98,147	98,164	98,147	98,177	98,190	98,205	98,178	98,206	98,190	98,182	98,147	98,157	98,121	98,197	98,195	98,127	98,188	98,173	98,212	98,203	98,143	98,147	98,167	98,199	98,213	98,034	98,182	98,224	98,217	98,201	98,152	98,110	98,132	98,229	98,194	98,237	98,199	98,226	98,206	98,201	98,234	98,138	98,179	98,196	98,244	98,203	98,168	98,210	98,195	98,185	98,221	98,122	98,166	98,128	98,164	98,228	98,169	98,180	98,198	98,169	98,059	99,993
932,80	100,015	98,267	98,181	98,250	98,232	98,235	98,231	98,160	98,229	98,239	98,018	98,191	98,239	98,269	98,265	98,264	98,230	98,276	98,251	98,274	98,236	98,250	98,233	98,272	98,291	98,269	98,207	98,261	98,254	98,256	98,223	98,260	98,285	98,283	98,276	98,262	98,253	98,304	98,278	98,259	98,208	98,223	98,209	98,270	98,262	98,230	98,243	98,267	98,249	98,284	98,231	98,199	98,203	98,246	98,220	98,178	98,265	98,257	98,282	98,285	98,245	98,248	98,284	98,242	98,310	98,150	98,252	98,246	98,319	98,300	98,244	98,211	98,252	98,251	98,243	98,298	98,278	98,288	98,317	98,282	98,264	98,229	98,268	98,288	98,273	98,298	98,242	98,262	98,299	98,300	98,258	98,219	98,239	98,176	98,245	98,253	98,247	98,291	98,272	98,204	98,179	100,013
933,00	99,976	98,253	98,221	98,220	98,212	98,234	98,252	98,187	98,201	98,218	97,984	98,215	98,213	98,252	98,202	98,233	98,222	98,250	98,234	98,216	98,207	98,222	98,235	98,256	98,245	98,260	98,184	98,235	98,250	98,222	98,188	98,192	98,244	98,257	98,242	98,237	98,217	98,270	98,259	98,218	98,192	98,207	98,168	98,239	98,224	98,240	98,217	98,236	98,234	98,229	98,248	98,245	98,171	98,258	98,244	98,162	98,242	98,234	98,224	98,244	98,207	98,183	98,211	98,240	98,293	98,095	98,256	98,272	98,243	98,228	98,192	98,162	98,188	98,258	98,258	98,262	98,275	98,265	98,246	98,236	98,261	98,204	98,228	98,270	98,304	98,243	98,226	98,250	98,247	98,254	98,249	98,176	98,228	98,190	98,239	98,266	98,197	98,243	98,217	98,188	98,129	100,043
933,20	100,000	98,163	98,182	98,187	98,180	98,190	98,205	98,127	98,173	98,181	97,944	98,134	98,174	98,209	98,199	98,174	98,174	98,215	98,203	98,186	98,172	98,183	98,194	98,201	98,211	98,228	98,125	98,200	98,225	98,185	98,174	98,179	98,234	98,214	98,204	98,203	98,191	98,222	98,192	98,194	98,152	98,159	98,159	98,192	98,190	98,204	98,212	98,227	98,194	98,201	98,158	98,146	98,131	98,173	98,188	98,140	98,185	98,201	98,226	98,205	98,159	98,197	98,212	98,194	98,222	98,075	98,179	98,192	98,252	98,240	98,183	98,149	98,182	98,213	98,168	98,256	98,196	98,237	98,242	98,230	98,228	98,130	98,186	98,215	98,226	98,227	98,172	98,212	98,206	98,217	98,213	98,155	98,190	98,106	98,161	98,199	98,195	98,209	98,231	98,165	98,081	99,966
933,40	100,014	98,294	98,199	98,260	98,243	98,266	98,241	98,187	98,235	98,254	98,032	98,219	98,238	98,286	98,262	98,264	98,250	98,283	98,276	98,281	98,238	98,253	98,238	98,272	98,270	98,267	98,218	98,266	98,251	98,258	98,234	98,253	98,272	98,278	98,285	98,270	98,243	98,312	98,290	98,263	98,217	98,231	98,197	98,286	98,259	98,249	98,257	98,263	98,247	98,272	98,261	98,216	98,207	98,279	98,250	98,183	98,285	98,273	98,268	98,282	98,260	98,246	98,268	98,254	98,344	98,161	98,289	98,277	98,289	98,265	98,230	98,228	98,246	98,262	98,284	98,279	98,303	98,289	98,299	98,274	98,273	98,252	98,274	98,311	98,317	98,301	98,258	98,265	98,305	98,311	98,267	98,223	98,256	98,210	98,292	98,267	98,214	98,292	98,250	98,190	98,178	100,060
933,60	99,971	98,215	98,213	98,197	98,188	98,227	98,224	98,171	98,174	98,190	97,944	98,200	98,196	98,230	98,182	98,198	98,195	98,223	98,218	98,182	98,191	98,182	98,229	98,211	98,213	98,258	98,149	98,200	98,229	98,194	98,180	98,173	98,248	98,222	98,225	98,214	98,202	98,232	98,207	98,195	98,171	98,184	98,171	98,208	98,210	98,230	98,210	98,233	98,206	98,218	98,231	98,211	98,158	98,207	98,232	98,149	98,205	98,227	98,215	98,210	98,164	98,201	98,213	98,228	98,233	98,076	98,225	98,247	98,249	98,228	98,187	98,146	98,170	98,235	98,216	98,276	98,221	98,251	98,242	98,234	98,252	98,149	98,186	98,219	98,262	98,238	98,191	98,228	98,209	98,234	98,220	98,159	98,203	98,139	98,189	98,236	98,213	98,214	98,239	98,188	98,088	100,012
933,80	100,022	98,185	98,199	98,217	98,191	98,220	98,216	98,144	98,197	98,190	97,969	98,140	98,185	98,227	98,215	98,192	98,188	98,227	98,226	98,214	98,186	98,203	98,192	98,217	98,214	98,214	98,165	98,195	98,216	98,199	98,200	98,214	98,230	98,218	98,213	98,209	98,189	98,240	98,217	98,218	98,172	98,173	98,161	98,229	98,199	98,215	98,216	98,227	98,200	98,229	98,182	98,155	98,150	98,201	98,188	98,134	98,220	98,218	98,232	98,225	98,203	98,221	98,235	98,198	98,270	98,106	98,209	98,207	98,252	98,222	98,199	98,182	98,214	98,182	98,208	98,236	98,233	98,256	98,264	98,245	98,211	98,208	98,219	98,254	98,229	98,267	98,195	98,209	98,221	98,250	98,215	98,167	98,200	98,134	98,229	98,201	98,182	98,244	98,217	98,136	98,139	99,975
934,00	99,997	98,293	98,191	98,238	98,236	98,271	98,225	98,195	98,215	98,237	98,027	98,232	98,242	98,290	98,240	98,257	98,239	98,283	98,269	98,251	98,238	98,241	98,236	98,269	98,262	98,277	98,224	98,233	98,246	98,248	98,235	98,234	98,271	98,268	98,267	98,256	98,227	98,303	98,284	98,241	98,226	98,250	98,196	98,276	98,264	98,263	98,262	98,266	98,243	98,270	98,285	98,222	98,214	98,280	98,286	98,183	98,276	98,272	98,247	98,262	98,222	98,226	98,245	98,270	98,302	98,132	98,299	98,305	98,263	98,257	98,214	98,198	98,209	98,286	98,291	98,288	98,289	98,284	98,284	98,270	98,288	98,217	98,244	98,275	98,329	98,283	98,248	98,258	98,289	98,313	98,269	98,216	98,247	98,212	98,266	98,301	98,239	98,267	98,258	98,225	98,139	100,073
934,20	99,960	98,160	98,186	98,162	98,166	98,199	98,202	98,137	98,149	98,159	97,910	98,158	98,185	98,196	98,166	98,168	98,167	98,207	98,196	98,161	98,164	98,166	98,188	98,195	98,179	98,204	98,139	98,163	98,220	98,173	98,176	98,156	98,234	98,199	98,186	98,187	98,180	98,194	98,184	98,174	98,158	98,157	98,150	98,181	98,176	98,206	98,193	98,211	98,205	98,199	98,194	98,179	98,144	98,167	98,179	98,124	98,167	98,196	98,211	98,184	98,155	98,205	98,211	98,186	98,212	98,065	98,181	98,183	98,232	98,216	98,183	98,141	98,186	98,172	98,167	98,231	98,194	98,250	98,234	98,215	98,199	98,156	98,178	98,194	98,203	98,248	98,156	98,203	98,178	98,208	98,190	98,139	98,182	98,087	98,182	98,183	98,188	98,199	98,209	98,123	98,104	99,949
934,40	100,028	98,223	98,204	98,219	98,201	98,236	98,233	98,160	98,204	98,209	98,001	98,153	98,195	98,253	98,226	98,219	98,217	98,249	98,228	98,226	98,189	98,217	98,181	98,242	98,225	98,210	98,204	98,212	98,237	98,221	98,214	98,227	98,232	98,241	98,230	98,221	98,194	98,266	98,258	98,227	98,199	98,201	98,153	98,255	98,222	98,233	98,242	98,228	98,230	98,244	98,205	98,162	98,192	98,242	98,221	98,145	98,257	98,237	98,250	98,238	98,212	98,196	98,216	98,216	98,279	98,110	98,257	98,255	98,230	98,211	98,197	98,189	98,192	98,229	98,255	98,230	98,270	98,250	98,264	98,239	98,249	98,221	98,243	98,260	98,295	98,269	98,225	98,229	98,263	98,287	98,228	98,185	98,211	98,168	98,262	98,251	98,189	98,249	98,209	98,161	98,110	100,017
934,60	99,990	98,288	98,195	98,207	98,237	98,247	98,226	98,206	98,191	98,214	97,998	98,241	98,239	98,268	98,252	98,258	98,237	98,268	98,254	98,244	98,233	98,251	98,238	98,274	98,254	98,279	98,214	98,238	98,262	98,235	98,231	98,215	98,269	98,260	98,258	98,248	98,234	98,274	98,265	98,224	98,237	98,237	98,199	98,255	98,258	98,266	98,265	98,269	98,272	98,263	98,277	98,220	98,217	98,251	98,280	98,187	98,256	98,269	98,259	98,249	98,208	98,254	98,269	98,276	98,261	98,119	98,276	98,279	98,288	98,294	98,230	98,185	98,235	98,274	98,249	98,303	98,270	98,305	98,292	98,263	98,287	98,201	98,220	98,237	98,291	98,309	98,224	98,259	98,267	98,299	98,258	98,213	98,247	98,169	98,248	98,272	98,267	98,255	98,278	98,213	98,143	100,050
934,80	99,998	98,152	98,197	98,180	98,180	98,201	98,219	98,149	98,161	98,173	97,932	98,156	98,177	98,205	98,182	98,179	98,185	98,203	98,197	98,173	98,162	98,192	98,186	98,213	98,196	98,183	98,162	98,178	98,221	98,181	98,174	98,170	98,219	98,195	98,185	98,187	98,168	98,203	98,200	98,197	98,176	98,160	98,128	98,214	98,177	98,214	98,201	98,198	98,212	98,214	98,193	98,167	98,152	98,179	98,175	98,116	98,192	98,209	98,219	98,203	98,191	98,184	98,203	98,173	98,243	98,073	98,183	98,189	98,209	98,185	98,175	98,150	98,189	98,165	98,203	98,189	98,220	98,233	98,238	98,214	98,198	98,189	98,203	98,217	98,232	98,265	98,183	98,205	98,191	98,225	98,199	98,142	98,186	98,111	98,219	98,190	98,169	98,220	98,178	98,099	98,095	99,944
935,00	100,033	98,246	98,217	98,224	98,198	98,235	98,234	98,176	98,196	98,224	98,006	98,185	98,219	98,262	98,241	98,241	98,230	98,246	98,242	98,228	98,204	98,228	98,202	98,265	98,237	98,245	98,227	98,232	98,230	98,229	98,233	98,235	98,256	98,244	98,257	98,228	98,218	98,276	98,260	98,219	98,224	98,218	98,170	98,252	98,255	98,254	98,250	98,232	98,244	98,243	98,210	98,169	98,205	98,245	98,271	98,150	98,246	98,254	98,254	98,248	98,197	98,217	98,233	98,241	98,259	98,114	98,269	98,273	98,252	98,259	98,194	98,171	98,198	98,261	98,272	98,277	98,275	98,268	98,275	98,246	98,287	98,192	98,210	98,226	98,297	98,278	98,227	98,243	98,278	98,292	98,239	98,195	98,226	98,178	98,248	98,276	98,232	98,235	98,240	98,205	98,106	100,051
935,20	99,986	98,275	98,183	98,187	98,235	98,243	98,210	98,217	98,181	98,213	97,978	98,248	98,254	98,253	98,250	98,236	98,241	98,254	98,247	98,225	98,216	98,234	98,244	98,269	98,248	98,259	98,218	98,235	98,256	98,221	98,228	98,202	98,261	98,239	98,247	98,236	98,236	98,250	98,250	98,239	98,240	98,227	98,195	98,245	98,250	98,266	98,257	98,259	98,266	98,262	98,264	98,216	98,202	98,222	98,243	98,169	98,230	98,262	98,262	98,245	98,242	98,265	98,280	98,245	98,279	98,132	98,239	98,248	98,278	98,258	98,227	98,189	98,256	98,233	98,242	98,275	98,262	98,311	98,297	98,285	98,260	98,227	98,226	98,246	98,263	98,328	98,211	98,261	98,244	98,269	98,254	98,202	98,259	98,151	98,254	98,235	98,250	98,262	98,265	98,159	98,160	99,999
935,40	100,011	98,158	98,193	98,190	98,180	98,205	98,214	98,148	98,166	98,194	97,949	98,142	98,178	98,214	98,180	98,182	98,184	98,196	98,199	98,172	98,141	98,193	98,171	98,215	98,182	98,182	98,193	98,180	98,214	98,188	98,181	98,183	98,208	98,195	98,195	98,185	98,166	98,209	98,207	98,188	98,181	98,178	98,127	98,222	98,194	98,214	98,204	98,190	98,201	98,211	98,184	98,150	98,162	98,204	98,206	98,101	98,198	98,215	98,227	98,210	98,176	98,152	98,181	98,177	98,244	98,074	98,204	98,224	98,173	98,182	98,151	98,150	98,161	98,190	98,234	98,202	98,238	98,216	98,221	98,199	98,218	98,163	98,192	98,208	98,259	98,234	98,200	98,202	98,203	98,226	98,200	98,149	98,188	98,137	98,225	98,226	98,164	98,207	98,178	98,141	98,052	99,979
935,60	100,025	98,266	98,218	98,208	98,229	98,245	98,236	98,201	98,176	98,222	98,006	98,208	98,235	98,277	98,258	98,245	98,247	98,260	98,249	98,231	98,210	98,240	98,224	98,290	98,239	98,265	98,233	98,241	98,246	98,233	98,246	98,239	98,274	98,254	98,270	98,242	98,238	98,280	98,255	98,236	98,242	98,232	98,206	98,250	98,271	98,271	98,263	98,259	98,261	98,252	98,231	98,179	98,208	98,240	98,271	98,169	98,241	98,269	98,278	98,263	98,233	98,260	98,256	98,270	98,264	98,120	98,261	98,280	98,274	98,283	98,210	98,185	98,247	98,258	98,243	98,294	98,269	98,303	98,283	98,278	98,291	98,209	98,209	98,229	98,271	98,313	98,212	98,259	98,280	98,294	98,265	98,204	98,251	98,165	98,247	98,256	98,267	98,237	98,289	98,191	98,147	100,044
935,80	99,980	98,237	98,159	98,166	98,223	98,220	98,183	98,193	98,159	98,192	97,946	98,216	98,226	98,243	98,209	98,208	98,207	98,234	98,225	98,205	98,188	98,221	98,216	98,251	98,226	98,209	98,212	98,207	98,245	98,203	98,184	98,193	98,217	98,224	98,213	98,222	98,208	98,226	98,226	98,223	98,212	98,209	98,169	98,240	98,223	98,248	98,213	98,227	98,226	98,259	98,239	98,194	98,182	98,218	98,205	98,127	98,222	98,235	98,252	98,232	98,231	98,191	98,235	98,212	98,277	98,109	98,218	98,244	98,215	98,209	98,193	98,188	98,208	98,199	98,256	98,225	98,254	98,272	98,276	98,250	98,224	98,214	98,233	98,239	98,260	98,289	98,224	98,238	98,217	98,242	98,239	98,180	98,226	98,154	98,250	98,245	98,196	98,250	98,205	98,142	98,109	99,975
936,00	100,028	98,160	98,208	98,200	98,180	98,193	98,224	98,145	98,164	98,198	97,955	98,147	98,186	98,240	98,189	98,201	98,192	98,201	98,204	98,184	98,148	98,214	98,186	98,251	98,196	98,199	98,202	98,191	98,222	98,200	98,198	98,208	98,235	98,223	98,223	98,199	98,178	98,239	98,211	98,200	98,194	98,189	98,141	98,223	98,214	98,217	98,217	98,208	98,202	98,214	98,176	98,156	98,178	98,216	98,238	98,113	98,213	98,219	98,246	98,218	98,168	98,173	98,191	98,214	98,213	98,069	98,218	98,244	98,207	98,236	98,157	98,134	98,175	98,224	98,221	98,255	98,249	98,230	98,237	98,215	98,253	98,153	98,163	98,176	98,249	98,228	98,196	98,219	98,230	98,253	98,204	98,156	98,189	98,146	98,209	98,234	98,216	98,182	98,231	98,174	98,084	100,007
936,20	100,018	98,280	98,214	98,194	98,254	98,237	98,237	98,228	98,182	98,224	97,998	98,238	98,254	98,282	98,258	98,251	98,257	98,270	98,249	98,245	98,226	98,258	98,247	98,296	98,262	98,253	98,243	98,257	98,266	98,229	98,224	98,238	98,258	98,267	98,262	98,259	98,247	98,287	98,272	98,257	98,246	98,239	98,209	98,255	98,271	98,285	98,263	98,265	98,275	98,269	98,242	98,185	98,206	98,236	98,240	98,191	98,259	98,274	98,282	98,273	98,271	98,246	98,273	98,267	98,309	98,137	98,244	98,282	98,273	98,263	98,224	98,207	98,269	98,248	98,266	98,260	98,279	98,319	98,307	98,304	98,274	98,255	98,247	98,268	98,285	98,327	98,242	98,272	98,283	98,289	98,273	98,217	98,264	98,178	98,271	98,262	98,249	98,281	98,267	98,171	98,163	100,011
